Year,wales_subregion,wales_counties,Number of Projects ,Electrical Capacity (MWe) ,Heat Capacity (MWth) ,Electrical Generation (MWhe) ,Heat Generation (MWhth) 
2016,South East Wales,Merthyr Tydfil ,734,9.28746,2.132662,34965.7618,6183.739538
2016,South East Wales,Caerphilly ,2965,54.113975,5.375512,63737.69386,14344.5862
2016,South East Wales,Blaenau Gwent ,1021,13.47637,2.570824,20484.84416,6564.741197
2016,South East Wales,Torfaen ,2054,11.41624,5.360871,11978.39225,17397.49552
2016,South East Wales,Monmouthshire ,4077,45.93276,18.624797,81891.979,54573.72944
2016,South East Wales,Newport ,2201,31.28626,6.60327,54471.85722,19360.26751
2016,Offshore ,offshore,3,726,0,2418960,0
2016,Unknown (1),Unknown,46,1.65181,0.183,3026.652008,1009.9404
2017,North Wales ,Isle of Anglesey ,2023,77.80689,6.80014,140772.4215,17223.53357
2017,North Wales,Gwynedd ,3034,101.29657,19.070981,169679.3041,53305.84191
2017,North Wales,Conwy ,1904,70.27013,11.596574,129431.1159,32837.72269
2017,North Wales,Denbighshire ,2091,46.92286,18.12825,105082.8195,56279.63353
2017,North Wales,Flintshire ,3511,115.49842,106.942694,235330.268,545888.1187
2017,North Wales,Wrexham ,4789,45.74849,37.607868,62113.10497,119634.4682
2017,Mid & South West Wales ,Powys ,6478,221.43695,130.005781,510835.9112,392951.9792
2017,Mid & South West Wales,Ceredigion ,3276,190.28403,61.517763,406027.9788,229730.3466
2017,Mid & South West Wales,Pembrokeshire ,4924,216.05553,29.272231,247680.3697,81322.87895
2017,Mid & South West Wales,Carmarthenshire ,5461,200.19904,44.70642,327702.4166,129212.0236
2017,Mid & South West Wales,Swansea ,2907,54.58544,7.189496,58717.34976,21348.52051
2017,Mid & South West Wales,Neath Port Talbot ,1874,340.02622,18.245392,1056799.502,64816.71991
2017,South East Wales ,Bridgend ,2554,94.11002,7.58291,191509.6623,21190.07033
2017,South East Wales,Vale of Glamorgan ,2222,83.89907,8.728254,84364.86492,25280.14043
2017,South East Wales,Cardiff ,3416,53.03776,11.351099,225644.9263,50266.39925
2017,South East Wales,Rhondda Cynon Taf ,3794,236.8687,15.312353,569885.7663,43926.38236
2017,South East Wales,Merthyr Tydfil ,739,15.70424,4.985812,42162.1998,18467.05972
2017,South East Wales,Caerphilly ,2870,59.97202,7.665792,80127.2767,22925.79109
2017,South East Wales,Blaenau Gwent ,927,14.07952,7.571324,21813.80134,21872.9288
2017,South East Wales,Torfaen ,1953,11.15275,3.247221,12443.84495,10799.18758
2017,South East Wales,Monmouthshire ,4075,62.27943,28.232367,152410.7297,100056.1566
2017,South East Wales,Newport ,2229,49.84944,10.35746,120724.5119,32274.94542
2017,Offshore ,offshore,3,726,0,2098720.8,0
2017,Unknown (1),Unknown,2,0.076,0.045,437.113314,248.346
2018,North Wales ,Isle of Anglesey ,2103,78.55018,7.431684,141493.4214,18700.67353
2018,North Wales,Gwynedd ,3131,102.59107,20.934654,179154.8516,58653.32994
2018,North Wales,Conwy ,1975,72.2213,12.539831,147690.054,35477.16281
2018,North Wales,Denbighshire ,2186,85.99416,20.914413,199098.7505,64165.53171
2018,North Wales,Flintshire ,3588,116.09098,106.952934,233804.9352,545894.3978
2018,North Wales,Wrexham ,4835,46.59124,38.142568,62974.57045,121086.298
2018,Mid & South West Wales ,Powys ,6706,222.2271,146.328129,508593.9068,441994.19
2018,Mid & South West Wales,Ceredigion ,3462,190.23129,68.142093,408384.8561,247239.2039
2018,Mid & South West Wales,Pembrokeshire ,5051,216.33511,34.018143,244690.9792,95163.73669
2018,Mid & South West Wales,Carmarthenshire ,5598,259.997,49.894339,465207.023,144459.4702
2018,Mid & South West Wales,Swansea ,2987,55.49481,8.516945,61571.83029,24956.77043
